"P.E.O.P.L.E. Population Estimates and Projections","","","","",""
"Author: BC Stats","","","","",""
"Release date: December 19, 2025","","","","",""
"Geographic level: Municipality","","","","",""
"Years: 2024","","","","",""
"-------------------------------------------------","","","","",""
"Region","Municipality","Year","Type","Gender","Total"
"43999","Unincorporated Areas - Mount Waddington","2024","Estimate","T","  3,566"
"45999","Unincorporated Areas - Central Coast","2024","Estimate","T","  4,022"
"47007","Port Edward","2024","Estimate","T","    447"
"47012","Prince Rupert","2024","Estimate","T"," 12,925"
"47023","Masset","2024","Estimate","T","    919"
"47026","Daajing Giids","2024","Estimate","T","    979"
"47030","Port Clements","2024","Estimate","T","    358"
"47999","Unincorporated Areas - North Coast","2024","Estimate","T","  3,446"
"49005","Kitimat","2024","Estimate","T","  9,169"
"49011","Terrace","2024","Estimate","T"," 13,251"
"49022","Hazelton","2024","Estimate","T","    317"
"49024","New Hazelton","2024","Estimate","T","    664"
"49032","Stewart","2024","Estimate","T","    527"
"49999","Unincorporated Areas - Kitimat-Stikine","2024","Estimate","T"," 17,510"
"51007","Vanderhoof","2024","Estimate","T","  4,555"
"51009","Fraser Lake","2024","Estimate","T","  1,018"
"51013","Fort St. James","2024","Estimate","T","  1,279"
"51022","Burns Lake","2024","Estimate","T","  2,011"
"51032","Granisle","2024","Estimate","T","    326"
"51034","Houston","2024","Estimate","T","  3,180"
"51038","Telkwa","2024","Estimate","T","  1,546"
"51043","Smithers","2024","Estimate","T","  5,653"
"51999","Unincorporated Areas - Bulkley-Nechako","2024","Estimate","T"," 19,849"
"53007","Valemount","2024","Estimate","T","  1,104"
"53012","McBride","2024","Estimate","T","    646"
"53023","Prince George","2024","Estimate","T"," 84,907"
"53033","Mackenzie","2024","Estimate","T","  3,347"
"53999","Unincorporated Areas - Fraser-Fort George","2024","Estimate","T"," 16,244"
"55003","Tumbler Ridge","2024","Estimate","T","  2,716"
"55005","Pouce Coupe","2024","Estimate","T","    821"
"55010","Chetwynd","2024","Estimate","T","  2,511"
"55014","Dawson Creek","2024","Estimate","T"," 12,775"
"55025","Hudson's Hope","2024","Estimate","T","  1,022"
"55030","Taylor","2024","Estimate","T","  1,440"
"55034","Fort St. John","2024","Estimate","T"," 24,286"
"55999","Unincorporated Areas - Peace River","2024","Estimate","T"," 21,803"
"57999","Unincorporated Areas - Stikine (Census Division)","2024","Estimate","T","    752"
"59007","Northern Rockies Regional Municipality","2024","Estimate","T","  4,086"
"59999","Unincorporated Areas - Northern Rockies (Census Division)","2024","Estimate","T","    555"
